Prop,Drawable,Total Textures
Eyes,27,1
Eyes,28,12
Eyes,29,20
Eyes,30,12
Eyes,31,12
Eyes,32,12
Eyes,33,12
Eyes,34,12
Eyes,35,12
Eyes,36,12
Eyes,37,12
Eyes,38,12
Eyes,39,12
Eyes,40,20
Eyes,41,20
Eyes,42,16
Eyes,43,1
Eyes,44,3
Eyes,45,26
Eyes,46,4
Eyes,47,26
Eyes,48,15
Eyes,49,1
Eyes,50,1
Eyes,51,9
Eyes,52,1
Eyes,53,8
Eyes,54,2
Eyes,55,4
Eyes,56,9
Eyes,57,8
Eyes,58,4
Hip,-1,1
Left Wrist,0,5
Left Wrist,1,5
Left Wrist,2,5
Left Wrist,3,5
Left Wrist,4,4
Left Wrist,5,4
Left Wrist,6,3
Left Wrist,7,3
Left Wrist,8,3
Left Wrist,9,3
Left Wrist,10,3
Left Wrist,11,3
Left Wrist,12,3
Left Wrist,13,3
Left Wrist,14,3
Left Wrist,15,3
Left Wrist,16,3
Left Wrist,17,3
Left Wrist,18,3
Left Wrist,19,3
Left Wrist,20,3
Left Wrist,21,3
Left Wrist,22,1
Left Wrist,23,1
Left Wrist,24,1
Left Wrist,25,1
Left Wrist,26,1
Left Wrist,27,1
Left Wrist,28,1
Left Wrist,29,4
Left Wrist,30,6
Left Wrist,31,6
Left Wrist,32,10
Left Wrist,33,6
Left Wrist,34,6
Left Wrist,35,6
Left Wrist,36,6
Left Wrist,37,6
Left Wrist,38,3
Left Wrist,39,3
Left Wrist,40,12
Left Wrist,41,3
Left Wrist,42,3
Left Wrist,43,3
Left Wrist,44,3
Left Wrist,45,1
Left Wrist,46,5
Left Wrist,47,5
Left Wrist,48,5
Left Wrist,49,5
